Id,ActivityHour,StepTotal,ActivityLevel,Date,Hour
1503960366,4/12/2016 12:00:00 AM,373,High,4/12/2016,12:00:00 AM
1503960366,4/12/2016 1:00:00 AM,160,High,4/12/2016,1:00:00 AM
1503960366,4/12/2016 2:00:00 AM,151,High,4/12/2016,2:00:00 AM
1503960366,4/12/2016 3:00:00 AM,0,High,4/12/2016,3:00:00 AM
1503960366,4/12/2016 4:00:00 AM,0,High,4/12/2016,4:00:00 AM
1503960366,4/12/2016 5:00:00 AM,0,High,4/12/2016,5:00:00 AM
1503960366,4/12/2016 6:00:00 AM,0,High,4/12/2016,6:00:00 AM
1503960366,4/12/2016 7:00:00 AM,0,High,4/12/2016,7:00:00 AM
1503960366,4/12/2016 8:00:00 AM,250,High,4/12/2016,8:00:00 AM
1503960366,4/12/2016 9:00:00 AM,1864,High,4/12/2016,9:00:00 AM
1503960366,4/12/2016 10:00:00 AM,676,High,4/12/2016,10:00:00 AM
1503960366,4/12/2016 11:00:00 AM,360,High,4/12/2016,11:00:00 AM
1503960366,4/12/2016 12:00:00 PM,253,High,4/12/2016,12:00:00 PM
1503960366,4/12/2016 1:00:00 PM,221,High,4/12/2016,1:00:00 PM
1503960366,4/12/2016 2:00:00 PM,1166,High,4/12/2016,2:00:00 PM
1503960366,4/12/2016 3:00:00 PM,2063,High,4/12/2016,3:00:00 PM
1503960366,4/12/2016 4:00:00 PM,344,High,4/12/2016,4:00:00 PM
1503960366,4/12/2016 5:00:00 PM,489,High,4/12/2016,5:00:00 PM
1503960366,4/12/2016 6:00:00 PM,1386,High,4/12/2016,6:00:00 PM
1503960366,4/12/2016 7:00:00 PM,558,High,4/12/2016,7:00:00 PM
1503960366,4/12/2016 8:00:00 PM,1733,High,4/12/2016,8:00:00 PM
1503960366,4/12/2016 9:00:00 PM,684,High,4/12/2016,9:00:00 PM
1503960366,4/12/2016 10:00:00 PM,89,High,4/12/2016,10:00:00 PM
1503960366,4/12/2016 11:00:00 PM,338,High,4/12/2016,11:00:00 PM
1503960366,4/13/2016 12:00:00 AM,144,High,4/13/2016,12:00:00 AM
1503960366,4/13/2016 1:00:00 AM,0,High,4/13/2016,1:00:00 AM
1503960366,4/13/2016 2:00:00 AM,0,High,4/13/2016,2:00:00 AM
1503960366,4/13/2016 3:00:00 AM,36,High,4/13/2016,3:00:00 AM
1503960366,4/13/2016 4:00:00 AM,0,High,4/13/2016,4:00:00 AM
1503960366,4/13/2016 5:00:00 AM,0,High,4/13/2016,5:00:00 AM
1503960366,4/13/2016 6:00:00 AM,0,High,4/13/2016,6:00:00 AM
1503960366,4/13/2016 7:00:00 AM,126,High,4/13/2016,7:00:00 AM
1503960366,4/13/2016 8:00:00 AM,275,High,4/13/2016,8:00:00 AM
1503960366,4/13/2016 9:00:00 AM,1679,High,4/13/2016,9:00:00 AM
1503960366,4/13/2016 10:00:00 AM,295,High,4/13/2016,10:00:00 AM
1503960366,4/13/2016 11:00:00 AM,524,High,4/13/2016,11:00:00 AM
1503960366,4/13/2016 12:00:00 PM,486,High,4/13/2016,12:00:00 PM
1503960366,4/13/2016 1:00:00 PM,302,High,4/13/2016,1:00:00 PM
1503960366,4/13/2016 2:00:00 PM,1577,High,4/13/2016,2:00:00 PM
1503960366,4/13/2016 3:00:00 PM,493,High,4/13/2016,3:00:00 PM
1503960366,4/13/2016 4:00:00 PM,299,High,4/13/2016,4:00:00 PM
1503960366,4/13/2016 5:00:00 PM,695,High,4/13/2016,5:00:00 PM
1503960366,4/13/2016 6:00:00 PM,1343,High,4/13/2016,6:00:00 PM
1503960366,4/13/2016 7:00:00 PM,258,High,4/13/2016,7:00:00 PM
1503960366,4/13/2016 8:00:00 PM,0,High,4/13/2016,8:00:00 PM
1503960366,4/13/2016 9:00:00 PM,0,High,4/13/2016,9:00:00 PM
1503960366,4/13/2016 10:00:00 PM,437,High,4/13/2016,10:00:00 PM
1503960366,4/13/2016 11:00:00 PM,1766,High,4/13/2016,11:00:00 PM
1503960366,4/14/2016 12:00:00 AM,81,High,4/14/2016,12:00:00 AM
1503960366,4/14/2016 1:00:00 AM,58,High,4/14/2016,1:00:00 AM
1503960366,4/14/2016 2:00:00 AM,0,High,4/14/2016,2:00:00 AM
1503960366,4/14/2016 3:00:00 AM,0,High,4/14/2016,3:00:00 AM
1503960366,4/14/2016 4:00:00 AM,0,High,4/14/2016,4:00:00 AM
1503960366,4/14/2016 5:00:00 AM,0,High,4/14/2016,5:00:00 AM
1503960366,4/14/2016 6:00:00 AM,0,High,4/14/2016,6:00:00 AM
1503960366,4/14/2016 7:00:00 AM,0,High,4/14/2016,7:00:00 AM
1503960366,4/14/2016 8:00:00 AM,0,High,4/14/2016,8:00:00 AM
1503960366,4/14/2016 9:00:00 AM,902,High,4/14/2016,9:00:00 AM
1503960366,4/14/2016 10:00:00 AM,1106,High,4/14/2016,10:00:00 AM
1503960366,4/14/2016 11:00:00 AM,50,High,4/14/2016,11:00:00 AM
1503960366,4/14/2016 12:00:00 PM,501,High,4/14/2016,12:00:00 PM
1503960366,4/14/2016 1:00:00 PM,1779,High,4/14/2016,1:00:00 PM
1503960366,4/14/2016 2:00:00 PM,1228,High,4/14/2016,2:00:00 PM
1503960366,4/14/2016 3:00:00 PM,139,High,4/14/2016,3:00:00 PM
1503960366,4/14/2016 4:00:00 PM,408,High,4/14/2016,4:00:00 PM
1503960366,4/14/2016 5:00:00 PM,37,High,4/14/2016,5:00:00 PM
1503960366,4/14/2016 6:00:00 PM,322,High,4/14/2016,6:00:00 PM
1503960366,4/14/2016 7:00:00 PM,11,High,4/14/2016,7:00:00 PM
1503960366,4/14/2016 8:00:00 PM,806,High,4/14/2016,8:00:00 PM
1503960366,4/14/2016 9:00:00 PM,2670,High,4/14/2016,9:00:00 PM
1503960366,4/14/2016 10:00:00 PM,362,High,4/14/2016,10:00:00 PM
1503960366,4/14/2016 11:00:00 PM,0,High,4/14/2016,11:00:00 PM
1503960366,4/15/2016 12:00:00 AM,83,High,4/15/2016,12:00:00 AM
1503960366,4/15/2016 1:00:00 AM,75,High,4/15/2016,1:00:00 AM
1503960366,4/15/2016 2:00:00 AM,124,High,4/15/2016,2:00:00 AM
1503960366,4/15/2016 3:00:00 AM,0,High,4/15/2016,3:00:00 AM
1503960366,4/15/2016 4:00:00 AM,0,High,4/15/2016,4:00:00 AM
1503960366,4/15/2016 5:00:00 AM,26,High,4/15/2016,5:00:00 AM
1503960366,4/15/2016 6:00:00 AM,0,High,4/15/2016,6:00:00 AM
1503960366,4/15/2016 7:00:00 AM,7,High,4/15/2016,7:00:00 AM
1503960366,4/15/2016 8:00:00 AM,55,High,4/15/2016,8:00:00 AM
1503960366,4/15/2016 9:00:00 AM,21,High,4/15/2016,9:00:00 AM
1503960366,4/15/2016 10:00:00 AM,154,High,4/15/2016,10:00:00 AM
1503960366,4/15/2016 11:00:00 AM,425,High,4/15/2016,11:00:00 AM
1503960366,4/15/2016 12:00:00 PM,270,High,4/15/2016,12:00:00 PM
1503960366,4/15/2016 1:00:00 PM,373,High,4/15/2016,1:00:00 PM
1503960366,4/15/2016 2:00:00 PM,0,High,4/15/2016,2:00:00 PM
1503960366,4/15/2016 3:00:00 PM,0,High,4/15/2016,3:00:00 PM
1503960366,4/15/2016 4:00:00 PM,0,High,4/15/2016,4:00:00 PM
1503960366,4/15/2016 5:00:00 PM,1774,High,4/15/2016,5:00:00 PM
1503960366,4/15/2016 6:00:00 PM,509,High,4/15/2016,6:00:00 PM
1503960366,4/15/2016 7:00:00 PM,519,High,4/15/2016,7:00:00 PM
1503960366,4/15/2016 8:00:00 PM,77,High,4/15/2016,8:00:00 PM
1503960366,4/15/2016 9:00:00 PM,280,High,4/15/2016,9:00:00 PM
1503960366,4/15/2016 10:00:00 PM,2145,High,4/15/2016,10:00:00 PM
1503960366,4/15/2016 11:00:00 PM,2768,High,4/15/2016,11:00:00 PM
1503960366,4/16/2016 12:00:00 AM,459,High,4/16/2016,12:00:00 AM
1503960366,4/16/2016 1:00:00 AM,0,High,4/16/2016,1:00:00 AM
1503960366,4/16/2016 2:00:00 AM,63,High,4/16/2016,2:00:00 AM
1503960366,4/16/2016 3:00:00 AM,6,High,4/16/2016,3:00:00 AM
1503960366,4/16/2016 4:00:00 AM,6,High,4/16/2016,4:00:00 AM
1503960366,4/16/2016 5:00:00 AM,12,High,4/16/2016,5:00:00 AM
1503960366,4/16/2016 6:00:00 AM,0,High,4/16/2016,6:00:00 AM
1503960366,4/16/2016 7:00:00 AM,101,High,4/16/2016,7:00:00 AM
1503960366,4/16/2016 8:00:00 AM,175,High,4/16/2016,8:00:00 AM
1503960366,4/16/2016 9:00:00 AM,1181,High,4/16/2016,9:00:00 AM
1503960366,4/16/2016 10:00:00 AM,1295,High,4/16/2016,10:00:00 AM
1503960366,4/16/2016 11:00:00 AM,2043,High,4/16/2016,11:00:00 AM
1503960366,4/16/2016 12:00:00 PM,1513,High,4/16/2016,12:00:00 PM
1503960366,4/16/2016 1:00:00 PM,3616,High,4/16/2016,1:00:00 PM
1503960366,4/16/2016 2:00:00 PM,580,High,4/16/2016,2:00:00 PM
1503960366,4/16/2016 3:00:00 PM,0,High,4/16/2016,3:00:00 PM
1503960366,4/16/2016 4:00:00 PM,15,High,4/16/2016,4:00:00 PM
1503960366,4/16/2016 5:00:00 PM,380,High,4/16/2016,5:00:00 PM
1503960366,4/16/2016 6:00:00 PM,96,High,4/16/2016,6:00:00 PM
1503960366,4/16/2016 7:00:00 PM,146,High,4/16/2016,7:00:00 PM
